version,date,type
5.6,2014-08-28,released
5.6,2017-01-19,end of active support
5.6,2018-12-31,end of security support
7.0,2015-12-03,released
7.0,2017-12-03,end of active support
7.0,2018-12-03,end of security support
7.1,2016-12-01,released
7.1,2018-12-01,end of active support
7.1,2019-12-01,end of security support
7.2,2017-11-30,released
7.2,2019-11-30,end of active support
7.2,2020-11-30,end of security support
7.3,2018-12-06,released
7.3,2020-12-06,end of active support
7.3,2021-12-06,end of security support
7.4,2019-11-28,released
7.4,2021-11-28,end of active support
7.4,2022-11-28,end of security support
8.0,2020-11-26,released
8.0,2022-11-26,end of active support
8.0,2023-11-26,end of security support
8.1,2021-11-25,released
8.1,2023-11-25,end of active support
8.1,2024-11-25,end of security support
